,Repositories,stars
0,dotnet / aspnetcore,29k
1,SeleniumHQ / selenium,24.1k
2,files-community / Files,23.4k
3,dotnet / corefx,17.9k
4,dotnet / core,17.8k
5,dotnet / maui,16.3k
6,jellyfin / jellyfin,15.6k
7,icsharpcode / ILSpy,15.5k
8,quozd / awesome-dotnet,15k
9,microsoft / react-native-windows,14.9k
10,AvaloniaUI / Avalonia,14.4k
11,pulumi / pulumi,13.1k
12,dotnet / coreclr,12.7k
13,Ryujinx / Ryujinx,12.3k
14,MoienTajik / AspNetCore-Developer-Roadmap,11.9k
15,OpenRA / OpenRA,11.6k
16,docker / labs,10.8k
17,App-vNext / Polly,10.8k
18,ardalis / CleanArchitecture,10.7k
19,aspnetboilerplate / aspnetboilerplate,10.5k
20,bitwarden / server,10.1k
21,mono / mono,9.9k
22,jasontaylordev / CleanArchitecture,9.1k
23,BeyondDimension / SteamTools,8.9k
24,IdentityServer / IdentityServer4,8.8k
25,dotnet / orleans,8.7k
26,MonoGame / MonoGame,8.6k
27,JustArchiNET / ArchiSteamFarm,8.3k
28,dotnet / machinelearning,8k
29,dotnet / BenchmarkDotNet,7.9k
